ID,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q24,Q12,Q20,text_donation,comic_donation,socialnorm_donation,Q7,Q8,Q9
53,1,1,1,1,4,3,2,1,1,5,4,4,4,2,2,2,4,3,2,1,4,1,3,2,1,"The video provided information regarding a run dedicated for Autism spectrum disorder sufferers. Those who had family members suffering from Autism spectrum were running towards this cause and striving to raise donation. I do not remember the names but there was a mom-daughter duo, some people running around in the background and an elderly fellow who had been running towards this cause since 15 years.",2,,2.5,,2,3,4
54,1,1,2,2,3,3,6,3,5,4,5,3,2,4,4,3,5,5,4,3,5,2,3,3,1,Video highlighting the Run for Autism charity.  It has interviews with some of the runners and the reasons they support the charity.  ,5,,1,,1,2,3
55,1,2,2,2,2,6,7,7,3,6,1,7,7,1,7,1,7,7,1,1,7,2,7,7,1,The orgaization is starting a run for sutism.,3,,5,,2,2,3
56,1,1,2,2,3,5,4,3,3,5,2,5,3,3,4,3,4,3,3,2,5,2,5,2,1,The video was promoting a marathon to benefit autism research. It featured several people who had autistic family members. It said it had raised $7.5 million.,4,,0.5,,1,4,2
57,1,1,2,2,6,7,5,4,5,6,7,4,4,6,4,6,5,7,4,4,5,4,4,4,1,A charity for a autism video,3,0,,,1,4,2
58,1,1,1,2,6,6,7,2,2,4,2,7,5,2,2,2,7,6,3,2,6,3,7,2,1,The video featured people who supported funding research for autism by running a marathon. There were people running who had a family member who has autism.,5,1.5,,,2,2,3
59,1,1,2,2,5,6,2,2,2,3,3,6,3,2,4,2,7,5,3,1,6,3,6,2,1,Its about an organization that raises money for Autism research.  It was focused on a race that rases money for the research. ,3,,5,,1,10,4
60,1,1,2,2,3,3,7,4,4,2,4,3,2,4,4,3,7,3,6,1,5,1,3,4,1,"It was a video of people talking about running in support of OAR, which is an Autism organization. They spoke of why they were running and who they were running for. ",5,0.5,,,2,4,3
61,1,1,2,2,6,3,2,2,2,4,2,4,6,2,4,2,6,5,2,2,4,2,4,4,1,It was about a run in support for autism. Family members ran to support their family members that have autism. ,3,,2.5,,2,7,2
62,1,1,1,1,1,2,1,2,1,7,1,6,7,1,3,1,1,5,1,6,2,1,2,2,1,It is an interesting rally. It is about running for charity and donating to the charity. It is really for a good cause. I am really interested in joining the rally for autism.,1,,2,,1,4,4
63,1,1,2,2,5,3,3,2,4,6,3,4,5,2,3,1,4,6,4,1,6,2,4,3,1,This video was a charity for autism based on running marathons to raise money and awareness.,3,,3.5,,1,4,2
64,1,1,2,2,3,2,6,3,3,5,3,2,1,3,3,2,3,2,3,2,3,1,2,5,1,describes how running a marathon benefits autism research and earns money from it.  has interviews with parent of autistic child and other people saying it makes a difference and makes them feel good.  people discuss how it is an important cause.,4,,0.5,,2,4,2
65,1,2,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,2,2,1,1,2,1,Walk and fundraise together to enhance the lives of people living with autism.,1,,2.5,,1,11,3
66,1,1,1,1,2,1,2,1,1,5,5,4,6,3,2,1,2,3,2,4,3,2,1,2,1,RUN FOR AUTISM is the marquee fundraising initiative for the Organization for Autism Research. i am ready run for autism.,1,,1,,2,1,3
67,1,1,2,2,6,5,2,2,1,5,2,5,4,2,2,1,6,6,3,1,6,1,6,1,1,The video featured people that are running in a run for autism charity race and fundraiser. Many of them have friends and family members on the autism spectrum and they talk about how important the cause is to them personally and how important it is to raise money for autism research.,3,3,,,2,8,4
68,1,1,1,1,3,4,2,2,2,5,2,3,3,2,2,2,4,5,2,4,5,2,3,3,1,it was a video for a walk/run to benefit autism,2,2.5,,,2,3,2
69,1,1,2,2,5,4,3,3,4,7,3,5,4,3,4,2,2,5,2,5,4,2,5,1,1,"The video outlined several individuals that run in an annual race to benefit autism patients and research. The event has raised several million dollars, with over 7,500 participants since 2008.",5,2.5,,,1,12,4
70,1,1,1,1,3,1,3,4,3,2,3,5,3,1,3,5,3,5,2,3,4,3,2,5,1,This video is about Autism Run. Different candidates are running for their relatives who suffer from Autism. Many of them are inspired by the organization OAR and have been running since a long time.,1,0,,,2,7,3
71,1,1,1,2,2,5,4,2,3,6,4,3,2,3,2,3,5,3,4,2,5,2,3,3,1,Thus was a video about people who run for autism.  They support a charity for autiism research.  Many of the runners have relatives who are autistic.,3,,1,,2,8,6
72,1,1,2,1,5,2,1,1,2,7,2,3,7,1,2,1,2,3,2,1,3,1,3,2,1,Its about a run for autism so that funds get generated and people participate and get a feel of the cause.,1,,5,,1,3,3
73,1,1,1,2,1,1,3,4,2,6,3,5,1,2,2,3,3,2,6,2,6,2,2,2,1,The video speaks of people who will be running a race for autism. These are people that have been affected by it in some way. They have family members who are sealing with the disease. ,5,0,,,1,11,3
74,1,1,1,1,2,3,2,1,2,2,1,2,3,2,1,2,2,2,1,2,2,1,2,2,1,"I watched marathon in this video. run for Autism, definitely feel free you will join this race ",1,,2.5,,1,5,3
75,1,1,1,1,5,5,2,2,2,5,2,5,5,2,2,2,6,5,2,2,5,2,5,2,1,The video showed how people raise money for autism research by running in a race for OAR. They do so for very personal reasons and want to help with research on autism.,4,,5,,2,12,4
76,1,1,2,2,5,5,4,2,6,3,3,5,3,6,4,2,6,4,4,4,4,1,4,3,1,It showed an autism running event with many participants and their reasons for running.,3,0.5,,,1,6,3
77,1,1,2,1,5,6,3,2,2,6,2,6,6,2,2,2,6,6,3,6,6,3,5,3,1,It was a run for autism.,5,,2.5,,2,10,3
78,1,1,1,2,6,3,1,2,6,1,2,3,1,4,6,3,1,1,7,5,1,2,1,7,1,It is about a campaign to collect money for the OAR.The name of the campaign is run for OAR.,4,2.5,,,2,4,3
79,1,1,2,2,3,3,4,4,4,7,3,2,2,4,4,4,3,1,4,2,4,1,3,2,1,It's about people who run a race to support an autism charity,5,,5,,2,3,3
80,1,1,2,2,4,3,4,4,4,5,4,3,2,4,4,4,4,3,4,3,4,3,3,5,1,It was about people who run for a charity that benefits autism,3,4,,,2,3,2
81,1,1,2,2,3,2,6,2,5,6,3,3,3,5,4,5,5,4,3,2,4,2,4,3,1,"People run for autism charity OAR to benefit friends and family who affected by the disease, and to share the feeling of satisfaction after completing the race. OAR participants have helped raised $7.5M towards autism research.",4,,5,,1,6,3
82,1,1,1,2,5,6,7,2,2,4,1,7,4,1,4,1,4,6,7,1,7,1,7,1,1,"This is a very heartwarming video about people supporting autism research through a marathon. The name of the organization they are supporting is OAR, the Organization for Autism Research. Everyone in the video seems to be running for someone that they know that has autism, or has autism themselves. This is a very inspiring video.",4,0,,,1,4,2
83,1,1,1,1,7,6,7,7,7,6,5,4,6,1,1,1,3,3,1,1,5,1,4,2,1,Its about peoples participation in a run for autism.Its states the cause and the feelings and emotions associated with Autism.,1,0,,,1,2,4
84,1,1,2,2,3,3,5,3,3,5,3,2,3,5,3,3,5,2,4,3,5,2,2,3,1,"It was a promo for a charity run that raises money for autism research, and featured interviews with participants about the reasons why they run and why the cause is important to them.",3,1,,,2,4,3
85,1,1,1,2,2,2,1,4,2,7,4,2,4,1,2,1,5,3,2,2,6,2,3,3,1,the video highlighted the  annual run for autism charity event  which has taken place for fifteen years. a number of people who have relatives with autism discussed the importance of these events.,5,,5,,1,7,3
86,1,1,1,2,6,3,4,3,1,1,2,6,7,1,6,3,7,6,7,2,6,2,3,2,1,"People talking about the OAR foundation and a charity run for autism funding. There was a mom and daughter featured, and brief interviews with other parents and relatives of those with autism.",4,,4.5,,2,11,3
87,1,1,1,2,2,2,6,4,3,6,6,2,2,3,4,4,2,1,6,1,4,1,1,1,1,It was a video about people getting ready to run a race for autism. These people have been affected by this disease in one way or another.  ,5,0,,,1,8,3
88,1,1,1,2,5,3,2,3,3,3,5,3,3,5,2,2,5,3,4,5,5,3,5,3,1,This run raises money for autism.  The video featured interviews with various participants.,4,5,,,1,6,4
89,1,1,1,2,1,3,6,5,2,6,3,2,1,3,3,2,6,2,5,5,6,1,2,3,1,"It was an ad for the Organization for Autism Research, or OAR, and their run that they have put on every year since 2003. There were snippets of interviews with runners/people with autism/parents of children with autism and it talked about how much money they have raised and why the charity is important.",4,,2,,1,7,3
90,1,1,2,2,6,5,3,2,3,4,3,5,6,4,3,3,5,6,3,3,6,4,5,3,1,It was about the Run For Autism project and it described how the run works and the meaning it holds in the participants lives.,3,,1,,1,7,4
91,1,1,2,2,4,3,3,2,4,1,4,5,4,4,6,5,4,5,6,3,3,1,4,4,1,"numerous people talked about raising money for autism research by participating in a run, and their children etc who are autistic",5,1,,,2,9,3
92,1,1,2,2,6,6,3,2,3,7,2,6,4,3,2,2,5,6,2,2,4,2,6,1,1,A number of people talk about how much the charity run for autism means to them. They talk about how much they support it and what they get out of the event.,4,,3,,1,5,3
93,1,1,1,2,3,4,4,4,3,5,3,3,1,3,3,3,3,2,4,3,2,3,2,5,1,It wasw about people that run for Autism and collect money for the cause.,3,,3,,1,4,7
94,1,1,1,2,3,2,4,2,3,7,2,3,1,4,2,2,5,3,4,2,4,2,4,2,1,The video was about people who participate in charitable activity in the form of running in order to raise money and awareness for autism research.,3,,5,,1,11,4
95,1,1,1,2,3,3,4,3,2,5,3,3,2,2,2,2,6,3,2,2,5,1,3,3,1,The video was about running and raising money for autism and autism research.,3,,1,,2,6,2
96,1,1,1,2,2,3,2,3,3,3,3,2,3,2,2,2,2,2,1,1,2,2,1,3,1,"The video described about ""Autism"". Also that charity conducted a event called ""Run for Autism"".",1,0,,,2,2,4
97,1,1,1,1,3,2,1,4,2,7,1,5,7,1,1,1,5,4,1,2,5,2,4,3,1,"It mostly was about people running for some one in their family or someone that that they knew , that the cause was for a great reason and to be aware of Autism ",2,,2.5,,2,2,2
98,1,1,2,2,2,4,4,3,4,5,3,3,7,1,1,2,4,4,4,2,5,2,5,1,1,"It was about the run for autism, from a mother's perspective. She mentions her daughter has it and that's one of the reasons she chose to run for it.",2,0.5,,,1,4,2
99,1,1,1,2,4,3,2,2,2,4,3,4,4,3,3,2,3,4,3,4,4,2,4,4,1,This video mainly focus on many peole telling why they run for the autism charity. Most of them run because they have a family member who is autism.,2,2.5,,,2,9,3
100,1,2,2,2,5,6,2,2,2,5,2,5,4,3,2,2,4,5,4,1,6,3,5,3,1,The video was on a charity run for autism. It showed testimonials from runners. ,5,2.5,,,1,7,4
101,1,1,1,2,3,1,2,2,5,1,7,2,2,3,2,2,3,1,3,2,2,2,1,2,1,people were running for autism. Many had sons and daughters that were autistic,3,,2.5,,1,3,2
102,1,1,2,2,6,6,4,2,2,6,3,6,3,2,2,2,6,6,2,1,6,1,6,3,1,The video was about the charity organization OAR.  It depicted people and their stories on how and why they got involved in OAR.  It also mentioned the money that has been raised through the years by volunteers of the organization.,3,,1,,1,4,3
103,1,1,1,2,6,3,2,2,2,1,6,5,3,3,5,2,2,2,3,3,2,2,2,1,1,It is about marathon run for a cause. That is for autism. Donation collected as part of the marathon is used for autism research. ,1,0,,,1,1,3
104,1,1,1,2,3,4,7,4,4,7,2,3,2,4,3,3,7,3,2,1,6,1,4,1,1,"It was a video of adults, mostly parents, giving reasons why they are running a marathon for an autism charity. ",5,0,,,1,5,3
105,1,1,1,2,5,3,4,2,2,1,3,5,7,2,4,4,7,7,4,3,5,1,6,3,1,The video showed interviews with people who were involved in an event where they would run to raise money for autism research. The organization was called the Organization for Autism Research.,4,,2.5,,1,2,3
106,1,1,1,2,3,3,3,4,4,4,4,3,2,4,4,4,4,2,4,3,4,3,3,4,1,"It was about a charity run that benefits autism research, etc.",3,3,,,2,3,7
107,1,1,1,2,4,3,7,5,6,7,4,3,2,6,6,6,2,2,4,2,3,1,2,2,1,Interviews of people that run a race for an autism charity.,5,,2.5,,1,2,2
108,1,2,2,2,6,6,3,3,3,6,3,4,5,3,5,3,6,5,3,4,5,2,3,4,1,The video demonstrated how one can become involved as well as donating.  Giving of one's self carries a lot of weight.,3,3,,,2,5,2
109,1,2,2,2,6,4,3,2,4,6,4,6,6,4,3,3,6,6,4,2,4,3,4,3,1,"OAR is a charity for Autism, A marathon is ran to raise money.",3,,5,,1,3,2
110,1,1,1,1,4,3,5,4,3,7,3,6,4,4,4,5,5,3,3,3,5,1,5,2,1,"A video on why a bunch of different people choose to run for Autism, mostly relates to them knowing someone who has autism. A scope of what the walk is for.",2,,1,,2,6,2
111,1,1,2,2,4,3,2,4,2,1,2,2,2,2,2,2,3,2,2,3,2,2,2,2,1,People were running marathon for either their children or sibling. ,3,,5,,2,13,3
112,1,1,1,2,6,6,2,2,2,6,2,6,2,2,2,2,6,3,6,2,6,2,6,2,1,There is a run for autism race that has been going on for several years. They have raised around 7 million dollars. Many people run for a relative they have who has autism or someone they know.,3,0,,,1,5,3
113,1,1,1,2,4,5,4,4,6,5,4,5,4,5,4,3,4,3,4,3,4,1,4,1,1,"A video promoting the ""run for autism"" event organized by OAR which encourages participation in the event and gives testimonials of people and why they participate. ",3,,2.5,,1,6,3
114,1,1,2,2,4,4,5,3,3,5,3,5,4,4,3,4,5,4,2,4,4,3,4,4,1,the video shows different people that run in the charity for autism research. Some had relatives or people they knew who had autism that gave them the original reason to run in it. It gives most people a good feeling to do so because they are helping someone with autism.,5,2,,,2,5,2
115,1,1,1,1,2,1,2,2,1,2,3,2,2,1,4,2,1,2,1,2,1,1,2,2,1,fund charity collecting runs for austim,1,3.5,,,1,10,4
116,1,1,1,2,5,5,1,2,2,7,2,6,4,2,2,2,7,3,2,2,7,1,7,2,1,"This video featured Race for Autism, a marathon to benefit Organization for Autism Research. It featured participants speaking about the benefit or why they do this marathon.",4,1.5,,,2,7,3
117,1,1,2,2,3,4,7,4,4,2,4,4,1,4,4,4,4,3,4,2,4,2,1,4,1,A number of people recalled their firsthand experiences about why they run for autism. The video also provided statistics on past runners and money raised for autism research.,5,,5,,2,7,3
118,1,1,1,1,5,6,3,3,3,5,2,5,4,3,4,4,7,5,2,1,7,5,6,5,1,It was about the Run for Autism which benefits OAR. It was basically the participants describing why they run intermixed with some facts about how much has  been raised.,3,5,,,2,4,2
119,1,1,1,1,6,4,4,2,2,4,2,6,3,2,2,2,6,5,2,2,6,2,6,2,1,"Run For Autism raises money for Autism awareness. Since 2003, 7500 runners have raised $7.5 million dollars. The video featured people with children suffering from autism. One lady said she would give her medal to her autistic daughter when she finished the run.",3,2.5,,,2,6,2
120,1,1,1,2,6,4,3,3,3,4,4,3,3,2,4,2,5,4,3,3,4,1,4,2,1,People sharing their stories about why they run to support autism research,3,,5,,2,2,2
121,1,1,1,1,5,2,4,4,4,5,4,2,2,4,4,4,3,4,6,3,4,1,2,4,1,A bunch of people run to raise money and awareness for autism. ,5,0,,,1,7,3
122,1,1,1,2,2,3,4,3,3,6,5,2,3,3,5,4,3,2,6,3,3,1,5,3,1,It was people sharing their stories about why they run for autism,4,,1.5,,1,12,3
123,1,1,1,2,3,3,4,3,3,6,2,5,2,3,3,3,4,4,3,2,4,3,4,3,1,PEOPLE TALKING ABOUT RUNNING FOR AUTISM. MOST HAD FAMILY MEMBERS WHO WERE AUTISTIC.,5,,2,,2,6,3
124,1,1,2,2,3,2,4,3,4,1,2,2,1,6,6,5,3,1,6,4,1,1,1,3,1,It was about a charity marathon for families members that have autism. It had short interviews with people where they talk about why they run in the marathon.,5,0,,,1,10,3
125,1,1,2,2,5,5,4,3,3,7,3,5,4,3,2,3,6,5,3,1,5,2,5,2,1,"Over 75,000 people have participated in OAR ""Run for Autism"" events and the organization has raised over 7.5 million dollars as a result.",5,,0,,1,4,3
126,1,1,2,2,2,2,7,4,3,6,2,5,1,6,5,4,5,1,6,4,4,1,1,7,1,"It was about a run for an autism charity, OAR.",5,0,,,2,6,3
127,1,1,1,2,4,3,2,2,3,6,2,6,2,4,2,2,4,4,3,2,4,2,4,5,1,"People participate in Run for Autism, and they share their motivation, experiences, etc.",4,2.5,,,2,7,3
128,1,1,1,1,4,3,4,4,3,5,4,3,3,3,5,3,3,3,6,2,3,2,3,3,1,People shared their experiences and what drove them to run for autism.,5,,5,,1,7,3
129,1,1,2,2,5,4,3,1,4,3,3,5,4,3,4,2,7,4,1,2,5,3,4,4,1,It was a video where different people talked about why they do the charity event run for autism,4,1,,,1,13,2
130,1,1,2,2,5,5,2,4,3,5,4,6,3,3,4,3,7,6,4,2,6,2,6,1,1,Showed an annual race that raises money for autism research. Has raised 7.5 million to date. Interviewed participants and the person who started the race. ,3,,5,,2,12,4
131,1,1,2,2,1,2,4,2,1,2,2,1,4,2,1,3,5,2,1,1,3,1,1,4,1,Many of them shared about peoples they are know who suffered Autism. And they need to help against it.,3,3,,,1,1,3
